📡泱士超清,#genre#
泱1综合-超清,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv
泱1综合-超清,http://182.116.123.140:808/hls/1/index.m3u8
泱2财经-超清,http://183.223.157.33:9901/tsfile/live/0002_1.m3u8?key=txiptv
泱2财经-超清,https://23.237.196.100:6443/live/CCTV2HD/hls.m3u8
泱3综艺-超清,http://223.107.105.100:9901/tsfile/live/0003_1.m3u8?key=txiptv
泱3综艺-超清,http://154.yfvodcdn.com:8080/live/jsydcctv4/hls.m3u8
泱4中文国际-超清,http://183.223.157.33:9901/tsfile/live/0004_1.m3u8?key=txiptv
泱4中文国际-超清,http://115.236.83.222:1111/tsfile/live/0004_1.m3u8
泱5体育-超清,http://183.223.157.33:9901/tsfile/live/0005_1.m3u8?key=txiptv
泱5体育-超清,http://114.243.99.87:4000/rtp/239.3.1.173:8001
泱5+体育赛事-超清,http://223.107.105.100:9901/tsfile/live/0016_1.m3u8?key=txiptv
泱5+体育赛事-超清,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227493/index.m3u8
泱6电影-超清,http://183.223.157.33:9901/tsfile/live/0006_1.m3u8?key=txiptv
泱6电影-超清,http://219.159.147.195:9901/tsfile/live/1008_1.m3u8
泱7国防军事-超清,http://183.223.157.33:9901/tsfile/live/0007_1.m3u8?key=txiptv
泱8电视剧-超清,http://183.223.157.33:9901/tsfile/live/0008_1.m3u8?key=txiptv
泱8电视剧-超清,http://23.237.196.98:680/live/CCTV8HD/hls.m3u8
泱9纪录-超清,http://183.223.157.33:9901/tsfile/live/0009_1.m3u8?key=txiptv
泱9纪录-超清,http://tvbox.netsite.cc/proxy/41408178/41408178.m3u8
泱10科教-超清,http://183.223.157.33:9901/tsfile/live/0010_1.m3u8?key=txiptv
泱10科教-超清,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227375/index.m3u8
泱11戏曲-超清,http://183.223.157.33:9901/tsfile/live/0011_1.m3u8?key=txiptv
泱11戏曲-超清,http://tvbox.netsite.cc/proxy/1384058039/1384058039.m3u8
泱12社会与法-超清,http://183.223.157.33:9901/tsfile/live/0012_1.m3u8?key=txiptv
泱12社会与法-超清,http://110.72.87.253:808/hls/101/index.m3u8
泱13新闻-超清,http://183.223.157.33:9901/tsfile/live/0013_1.m3u8?key=txiptv
泱13新闻-超清,http://113.57.109.48:1111/tsfile/live/1012_1.m3u8
